fid,Feature
ECG_T_rr_ms_mean,T_rr_ms_mean
ECG_T_rr_ms_median,T_rr_ms_median
ECG_T_rr_ms_std,T_rr_ms_std
ECG_T_rr_ms_mad,T_rr_ms_mad
ECG_T_rr_ms_iqr,T_rr_ms_iqr
ECG_T_rr_ms_min,T_rr_ms_min
ECG_T_rr_ms_max,T_rr_ms_max
ECG_T_rr_ms_p25,T_rr_ms_p25
ECG_T_rr_ms_p75,T_rr_ms_p75
ECG_T_rr_ms_skewness,T_rr_ms_skewness
ECG_T_rr_ms_kurtosis,T_rr_ms_kurtosis
ECG_T_rr_ms_entropy,T_rr_ms_entropy
ECG_T_rr_ms_slope,T_rr_ms_slope
ECG_T_rr_ms_autocorr_lag1,T_rr_ms_autocorr_lag1
ECG_T_rr_ms_gini_index,T_rr_ms_gini_index
ECG_T_rr_ms_valid_n,T_rr_ms_valid_n
ECG_HR_bpm_mean,HR_bpm_mean
ECG_HR_bpm_median,HR_bpm_median
ECG_HR_bpm_std,HR_bpm_std
ECG_HR_bpm_mad,HR_bpm_mad
ECG_HR_bpm_iqr,HR_bpm_iqr
ECG_HR_bpm_min,HR_bpm_min
ECG_HR_bpm_max,HR_bpm_max
ECG_HR_bpm_p25,HR_bpm_p25
ECG_HR_bpm_p75,HR_bpm_p75
ECG_HR_bpm_skewness,HR_bpm_skewness
ECG_HR_bpm_kurtosis,HR_bpm_kurtosis
ECG_HR_bpm_entropy,HR_bpm_entropy
ECG_HR_bpm_slope,HR_bpm_slope
ECG_HR_bpm_autocorr_lag1,HR_bpm_autocorr_lag1
ECG_HR_bpm_gini_index,HR_bpm_gini_index
ECG_HR_bpm_valid_n,HR_bpm_valid_n
ECG_edr_rate_Bpm_mean,edr_rate_Bpm_mean
ECG_edr_rate_Bpm_median,edr_rate_Bpm_median
ECG_edr_rate_Bpm_std,edr_rate_Bpm_std
ECG_edr_rate_Bpm_mad,edr_rate_Bpm_mad
ECG_edr_rate_Bpm_iqr,edr_rate_Bpm_iqr
ECG_edr_rate_Bpm_min,edr_rate_Bpm_min
ECG_edr_rate_Bpm_max,edr_rate_Bpm_max
ECG_edr_rate_Bpm_p25,edr_rate_Bpm_p25
ECG_edr_rate_Bpm_p75,edr_rate_Bpm_p75
ECG_edr_rate_Bpm_skewness,edr_rate_Bpm_skewness
ECG_edr_rate_Bpm_kurtosis,edr_rate_Bpm_kurtosis
ECG_edr_rate_Bpm_entropy,edr_rate_Bpm_entropy
ECG_edr_rate_Bpm_slope,edr_rate_Bpm_slope
ECG_edr_rate_Bpm_autocorr_lag1,edr_rate_Bpm_autocorr_lag1
ECG_edr_rate_Bpm_gini_index,edr_rate_Bpm_gini_index
ECG_edr_rate_Bpm_valid_n,edr_rate_Bpm_valid_n
ECG_atrialSys_phase_mean,atrialSys_phase_mean
ECG_atrialSys_phase_median,atrialSys_phase_median
ECG_atrialSys_phase_std,atrialSys_phase_std
ECG_atrialSys_phase_mad,atrialSys_phase_mad
ECG_atrialSys_phase_iqr,atrialSys_phase_iqr
ECG_atrialSys_phase_min,atrialSys_phase_min
ECG_atrialSys_phase_max,atrialSys_phase_max
ECG_atrialSys_phase_p25,atrialSys_phase_p25
ECG_atrialSys_phase_p75,atrialSys_phase_p75
ECG_atrialSys_phase_skewness,atrialSys_phase_skewness
ECG_atrialSys_phase_kurtosis,atrialSys_phase_kurtosis
ECG_atrialSys_phase_entropy,atrialSys_phase_entropy
ECG_atrialSys_phase_slope,atrialSys_phase_slope
ECG_atrialSys_phase_autocorr_lag1,atrialSys_phase_autocorr_lag1
ECG_atrialSys_phase_gini_index,atrialSys_phase_gini_index
ECG_atrialSys_phase_valid_n,atrialSys_phase_valid_n
ECG_ventSys_phase_mean,ventSys_phase_mean
ECG_ventSys_phase_median,ventSys_phase_median
ECG_ventSys_phase_std,ventSys_phase_std
ECG_ventSys_phase_mad,ventSys_phase_mad
ECG_ventSys_phase_iqr,ventSys_phase_iqr
ECG_ventSys_phase_min,ventSys_phase_min
ECG_ventSys_phase_max,ventSys_phase_max
ECG_ventSys_phase_p25,ventSys_phase_p25
ECG_ventSys_phase_p75,ventSys_phase_p75
ECG_ventSys_phase_skewness,ventSys_phase_skewness
ECG_ventSys_phase_kurtosis,ventSys_phase_kurtosis
ECG_ventSys_phase_entropy,ventSys_phase_entropy
ECG_ventSys_phase_slope,ventSys_phase_slope
ECG_ventSys_phase_autocorr_lag1,ventSys_phase_autocorr_lag1
ECG_ventSys_phase_gini_index,ventSys_phase_gini_index
ECG_ventSys_phase_valid_n,ventSys_phase_valid_n
ECG_P_duration_mean,P_duration_mean
ECG_P_duration_median,P_duration_median
ECG_P_duration_std,P_duration_std
ECG_P_duration_mad,P_duration_mad
ECG_P_duration_iqr,P_duration_iqr
ECG_P_duration_min,P_duration_min
ECG_P_duration_max,P_duration_max
ECG_P_duration_p25,P_duration_p25
ECG_P_duration_p75,P_duration_p75
ECG_P_duration_skewness,P_duration_skewness
ECG_P_duration_kurtosis,P_duration_kurtosis
ECG_P_duration_entropy,P_duration_entropy
ECG_P_duration_slope,P_duration_slope
ECG_P_duration_autocorr_lag1,P_duration_autocorr_lag1
ECG_P_duration_gini_index,P_duration_gini_index
ECG_P_duration_valid_n,P_duration_valid_n
ECG_QRS_duration_mean,QRS_duration_mean
ECG_QRS_duration_median,QRS_duration_median
ECG_QRS_duration_std,QRS_duration_std
ECG_QRS_duration_mad,QRS_duration_mad
ECG_QRS_duration_iqr,QRS_duration_iqr
ECG_QRS_duration_min,QRS_duration_min
ECG_QRS_duration_max,QRS_duration_max
ECG_QRS_duration_p25,QRS_duration_p25
ECG_QRS_duration_p75,QRS_duration_p75
ECG_QRS_duration_skewness,QRS_duration_skewness
ECG_QRS_duration_kurtosis,QRS_duration_kurtosis
ECG_QRS_duration_entropy,QRS_duration_entropy
ECG_QRS_duration_slope,QRS_duration_slope
ECG_QRS_duration_autocorr_lag1,QRS_duration_autocorr_lag1
ECG_QRS_duration_gini_index,QRS_duration_gini_index
ECG_QRS_duration_valid_n,QRS_duration_valid_n
ECG_T_duration_mean,T_duration_mean
ECG_T_duration_median,T_duration_median
ECG_T_duration_std,T_duration_std
ECG_T_duration_mad,T_duration_mad
ECG_T_duration_iqr,T_duration_iqr
ECG_T_duration_min,T_duration_min
ECG_T_duration_max,T_duration_max
ECG_T_duration_p25,T_duration_p25
ECG_T_duration_p75,T_duration_p75
ECG_T_duration_skewness,T_duration_skewness
ECG_T_duration_kurtosis,T_duration_kurtosis
ECG_T_duration_entropy,T_duration_entropy
ECG_T_duration_slope,T_duration_slope
ECG_T_duration_autocorr_lag1,T_duration_autocorr_lag1
ECG_T_duration_gini_index,T_duration_gini_index
ECG_T_duration_valid_n,T_duration_valid_n
ECG_pr_interval_ms_mean,pr_interval_ms_mean
ECG_pr_interval_ms_median,pr_interval_ms_median
ECG_pr_interval_ms_std,pr_interval_ms_std
ECG_pr_interval_ms_mad,pr_interval_ms_mad
ECG_pr_interval_ms_iqr,pr_interval_ms_iqr
ECG_pr_interval_ms_min,pr_interval_ms_min
ECG_pr_interval_ms_max,pr_interval_ms_max
ECG_pr_interval_ms_p25,pr_interval_ms_p25
ECG_pr_interval_ms_p75,pr_interval_ms_p75
ECG_pr_interval_ms_skewness,pr_interval_ms_skewness
ECG_pr_interval_ms_kurtosis,pr_interval_ms_kurtosis
ECG_pr_interval_ms_entropy,pr_interval_ms_entropy
ECG_pr_interval_ms_slope,pr_interval_ms_slope
ECG_pr_interval_ms_autocorr_lag1,pr_interval_ms_autocorr_lag1
ECG_pr_interval_ms_gini_index,pr_interval_ms_gini_index
ECG_pr_interval_ms_valid_n,pr_interval_ms_valid_n
ECG_pr_segment_ms_mean,pr_segment_ms_mean
ECG_pr_segment_ms_median,pr_segment_ms_median
ECG_pr_segment_ms_std,pr_segment_ms_std
ECG_pr_segment_ms_mad,pr_segment_ms_mad
ECG_pr_segment_ms_iqr,pr_segment_ms_iqr
ECG_pr_segment_ms_min,pr_segment_ms_min
ECG_pr_segment_ms_max,pr_segment_ms_max
ECG_pr_segment_ms_p25,pr_segment_ms_p25
ECG_pr_segment_ms_p75,pr_segment_ms_p75
ECG_pr_segment_ms_skewness,pr_segment_ms_skewness
ECG_pr_segment_ms_kurtosis,pr_segment_ms_kurtosis
ECG_pr_segment_ms_entropy,pr_segment_ms_entropy
ECG_pr_segment_ms_slope,pr_segment_ms_slope
ECG_pr_segment_ms_autocorr_lag1,pr_segment_ms_autocorr_lag1
ECG_pr_segment_ms_gini_index,pr_segment_ms_gini_index
ECG_pr_segment_ms_valid_n,pr_segment_ms_valid_n
ECG_st_interval_ms_mean,st_interval_ms_mean
ECG_st_interval_ms_median,st_interval_ms_median
ECG_st_interval_ms_std,st_interval_ms_std
ECG_st_interval_ms_mad,st_interval_ms_mad
ECG_st_interval_ms_iqr,st_interval_ms_iqr
ECG_st_interval_ms_min,st_interval_ms_min
ECG_st_interval_ms_max,st_interval_ms_max
ECG_st_interval_ms_p25,st_interval_ms_p25
ECG_st_interval_ms_p75,st_interval_ms_p75
ECG_st_interval_ms_skewness,st_interval_ms_skewness
ECG_st_interval_ms_kurtosis,st_interval_ms_kurtosis
ECG_st_interval_ms_entropy,st_interval_ms_entropy
ECG_st_interval_ms_slope,st_interval_ms_slope
ECG_st_interval_ms_autocorr_lag1,st_interval_ms_autocorr_lag1
ECG_st_interval_ms_gini_index,st_interval_ms_gini_index
ECG_st_interval_ms_valid_n,st_interval_ms_valid_n
ECG_st_segment_ms_mean,st_segment_ms_mean
ECG_st_segment_ms_median,st_segment_ms_median
ECG_st_segment_ms_std,st_segment_ms_std
ECG_st_segment_ms_mad,st_segment_ms_mad
ECG_st_segment_ms_iqr,st_segment_ms_iqr
ECG_st_segment_ms_min,st_segment_ms_min
ECG_st_segment_ms_max,st_segment_ms_max
ECG_st_segment_ms_p25,st_segment_ms_p25
ECG_st_segment_ms_p75,st_segment_ms_p75
ECG_st_segment_ms_skewness,st_segment_ms_skewness
ECG_st_segment_ms_kurtosis,st_segment_ms_kurtosis
ECG_st_segment_ms_entropy,st_segment_ms_entropy
ECG_st_segment_ms_slope,st_segment_ms_slope
ECG_st_segment_ms_autocorr_lag1,st_segment_ms_autocorr_lag1
ECG_st_segment_ms_gini_index,st_segment_ms_gini_index
ECG_st_segment_ms_valid_n,st_segment_ms_valid_n
ECG_qt_interval_ms_mean,qt_interval_ms_mean
ECG_qt_interval_ms_median,qt_interval_ms_median
ECG_qt_interval_ms_std,qt_interval_ms_std
ECG_qt_interval_ms_mad,qt_interval_ms_mad
ECG_qt_interval_ms_iqr,qt_interval_ms_iqr
ECG_qt_interval_ms_min,qt_interval_ms_min
ECG_qt_interval_ms_max,qt_interval_ms_max
ECG_qt_interval_ms_p25,qt_interval_ms_p25
ECG_qt_interval_ms_p75,qt_interval_ms_p75
ECG_qt_interval_ms_skewness,qt_interval_ms_skewness
ECG_qt_interval_ms_kurtosis,qt_interval_ms_kurtosis
ECG_qt_interval_ms_entropy,qt_interval_ms_entropy
ECG_qt_interval_ms_slope,qt_interval_ms_slope
ECG_qt_interval_ms_autocorr_lag1,qt_interval_ms_autocorr_lag1
ECG_qt_interval_ms_gini_index,qt_interval_ms_gini_index
ECG_qt_interval_ms_valid_n,qt_interval_ms_valid_n
ECG_qtc_interval_ms_mean,qtc_interval_ms_mean
ECG_qtc_interval_ms_median,qtc_interval_ms_median
ECG_qtc_interval_ms_std,qtc_interval_ms_std
ECG_qtc_interval_ms_mad,qtc_interval_ms_mad
ECG_qtc_interval_ms_iqr,qtc_interval_ms_iqr
ECG_qtc_interval_ms_min,qtc_interval_ms_min
ECG_qtc_interval_ms_max,qtc_interval_ms_max
ECG_qtc_interval_ms_p25,qtc_interval_ms_p25
ECG_qtc_interval_ms_p75,qtc_interval_ms_p75
ECG_qtc_interval_ms_skewness,qtc_interval_ms_skewness
ECG_qtc_interval_ms_kurtosis,qtc_interval_ms_kurtosis
ECG_qtc_interval_ms_entropy,qtc_interval_ms_entropy
ECG_qtc_interval_ms_slope,qtc_interval_ms_slope
ECG_qtc_interval_ms_autocorr_lag1,qtc_interval_ms_autocorr_lag1
ECG_qtc_interval_ms_gini_index,qtc_interval_ms_gini_index
ECG_qtc_interval_ms_valid_n,qtc_interval_ms_valid_n
ECG_ecgBeatCenterFreq,ecgBeatCenterFreq
ECG_ecgInterbeat_eigval1,ecgInterbeat_eigval1
ECG_ecgInterbeat_eigval2,ecgInterbeat_eigval2
ECG_ecgInterbeat_eigval3,ecgInterbeat_eigval3
HRV_HRV_rqa_REC,HRV_rqa_REC
HRV_HRV_rqa_DET,HRV_rqa_DET
HRV_HRV_rqa_LAM,HRV_rqa_LAM
HRV_HRV_MeanNN,HRV_MeanNN
HRV_HRV_SDNN,HRV_SDNN
HRV_HRV_SDANN1,HRV_SDANN1
HRV_HRV_SDNNI1,HRV_SDNNI1
HRV_HRV_SDANN2,HRV_SDANN2
HRV_HRV_SDNNI2,HRV_SDNNI2
