feature_name,feature_category
ECG_T_rr_ms_mean,cardiac_rhythm
ECG_T_rr_ms_p25,cardiac_rhythm
ECG_T_rr_ms_p75,cardiac_rhythm
ECG_T_rr_ms_skewness,cardiac_rhythm
ECG_T_rr_ms_entropy,cardiac_rhythm
ECG_HR_bpm_skewness,cardiac_rhythm
ECG_edr_rate_Bpm_mean,respiratory
ECG_edr_rate_Bpm_p25,respiratory
ECG_edr_rate_Bpm_p75,respiratory
ECG_edr_rate_Bpm_skewness,respiratory
ECG_edr_rate_Bpm_entropy,respiratory
ECG_atrialSys_phase_mean,cardiac_phases
ECG_atrialSys_phase_skewness,cardiac_phases
ECG_atrialSys_phase_entropy,cardiac_phases
ECG_ventSys_phase_mean,statistical_measures
ECG_ventSys_phase_p25,statistical_measures
ECG_ventSys_phase_p75,statistical_measures
ECG_ventSys_phase_skewness,statistical_measures
ECG_ventSys_phase_entropy,statistical_measures
ECG_P_duration_mean,statistical_measures
ECG_P_duration_skewness,statistical_measures
ECG_P_duration_entropy,statistical_measures
ECG_QRS_duration_mean,statistical_measures
ECG_QRS_duration_skewness,statistical_measures
ECG_QRS_duration_entropy,statistical_measures
ECG_T_duration_mean,statistical_measures
ECG_T_duration_skewness,statistical_measures
ECG_T_duration_entropy,statistical_measures
ECG_pr_interval_ms_mean,statistical_measures
ECG_pr_interval_ms_skewness,statistical_measures
ECG_pr_interval_ms_entropy,statistical_measures
ECG_pr_segment_ms_mean,statistical_measures
ECG_pr_segment_ms_p25,statistical_measures
ECG_pr_segment_ms_skewness,statistical_measures
ECG_pr_segment_ms_entropy,statistical_measures
ECG_st_interval_ms_skewness,statistical_measures
ECG_st_interval_ms_entropy,statistical_measures
ECG_st_segment_ms_mean,statistical_measures
ECG_st_segment_ms_skewness,statistical_measures
ECG_st_segment_ms_entropy,statistical_measures
ECG_qt_interval_ms_mean,statistical_measures
ECG_qt_interval_ms_p75,statistical_measures
ECG_qt_interval_ms_skewness,statistical_measures
ECG_qt_interval_ms_entropy,statistical_measures
ECG_ecgBeatCenterFreq,other
ECG_ecgInterbeat_eigval1,other
ECG_ecgInterbeat_eigval2,other
ECG_ecgInterbeat_eigval3,other
HRV_HRV_rqa_REC,heart_rate_variability
HRV_HRV_rqa_DET,heart_rate_variability
HRV_HRV_rqa_LAM,heart_rate_variability
HRV_HRV_SDNN,heart_rate_variability
HRV_HRV_SDANN1,heart_rate_variability
HRV_HRV_SDNNI1,heart_rate_variability
HRV_HRV_MadNN,heart_rate_variability
HRV_HRV_MCVNN,heart_rate_variability
HRV_HRV_IQRNN,heart_rate_variability
HRV_HRV_SDRMSSD,heart_rate_variability
HRV_HRV_Prc80NN,heart_rate_variability
HRV_HRV_pNN50,heart_rate_variability
HRV_HRV_MinNN,heart_rate_variability
HRV_HRV_MaxNN,heart_rate_variability
HRV_HRV_HTI,heart_rate_variability
HRV_HRV_TINN,heart_rate_variability
HRV_HRV_VLF,heart_rate_variability
HRV_HRV_LF,heart_rate_variability
HRV_HRV_HF,heart_rate_variability
HRV_HRV_VHF,heart_rate_variability
HRV_HRV_TP,heart_rate_variability
HRV_HRV_LFHF,heart_rate_variability
HRV_HRV_LFn,heart_rate_variability
HRV_HRV_HFn,heart_rate_variability
HRV_HRV_LnHF,heart_rate_variability
HRV_HRV_SD1SD2,heart_rate_variability
HRV_HRV_S,heart_rate_variability
HRV_HRV_CVI,heart_rate_variability
HRV_HRV_PIP,heart_rate_variability
HRV_HRV_PSS,heart_rate_variability
HRV_HRV_PAS,heart_rate_variability
HRV_HRV_GI,heart_rate_variability
HRV_HRV_SI,heart_rate_variability
HRV_HRV_AI,heart_rate_variability
HRV_HRV_PI,heart_rate_variability
HRV_HRV_C1d,heart_rate_variability
HRV_HRV_C2d,heart_rate_variability
HRV_HRV_Cd,heart_rate_variability
HRV_HRV_DFA_alpha1,heart_rate_variability
HRV_HRV_MFDFA_alpha1_Width,heart_rate_variability
HRV_HRV_MFDFA_alpha1_Peak,heart_rate_variability
HRV_HRV_MFDFA_alpha1_Mean,heart_rate_variability
HRV_HRV_MFDFA_alpha1_Max,heart_rate_variability
HRV_HRV_MFDFA_alpha1_Asymmetry,heart_rate_variability
HRV_HRV_MFDFA_alpha1_Fluctuation,heart_rate_variability
HRV_HRV_MFDFA_alpha1_Increment,heart_rate_variability
HRV_HRV_DFA_alpha2,heart_rate_variability
HRV_HRV_MFDFA_alpha2_Width,heart_rate_variability
HRV_HRV_MFDFA_alpha2_Peak,heart_rate_variability
HRV_HRV_MFDFA_alpha2_Mean,heart_rate_variability
HRV_HRV_MFDFA_alpha2_Max,heart_rate_variability
HRV_HRV_MFDFA_alpha2_Delta,heart_rate_variability
HRV_HRV_MFDFA_alpha2_Asymmetry,heart_rate_variability
HRV_HRV_MFDFA_alpha2_Fluctuation,heart_rate_variability
HRV_HRV_MFDFA_alpha2_Increment,heart_rate_variability
HRV_HRV_ApEn,heart_rate_variability
HRV_HRV_SampEn,heart_rate_variability
HRV_HRV_ShanEn,heart_rate_variability
HRV_HRV_FuzzyEn,heart_rate_variability
HRV_HRV_MSEn,heart_rate_variability
HRV_HRV_CMSEn,heart_rate_variability
HRV_HRV_CD,heart_rate_variability
HRV_HRV_HFD,heart_rate_variability
HRV_HRV_KFD,heart_rate_variability
HRV_HRV_LZC,heart_rate_variability
PPG_AUC_pulse_nu_mean,ppg_derived
PPG_AUC_pulse_nu_p25,ppg_derived
PPG_AUC_pulse_nu_skewness,ppg_derived
PPG_AUC_pulse_nu_entropy,ppg_derived
PPG_AUC_sys_nu_entropy,ppg_derived
PPG_AUC_dias_nu_mean,ppg_derived
PPG_AUC_dias_nu_entropy,ppg_derived
PPG_AUCow_nu_mean,ppg_derived
PPG_AUCow_nu_skewness,ppg_derived
PPG_AUCow_nu_entropy,ppg_derived
PPG_AUCwo_nu_mean,ppg_derived
PPG_AUCwo_nu_p25,ppg_derived
PPG_AUCwo_nu_skewness,ppg_derived
PPG_AUCwo_nu_entropy,ppg_derived
PPG_AUCos_nu_mean,ppg_derived
PPG_AUCos_nu_p25,ppg_derived
PPG_AUCos_nu_skewness,ppg_derived
PPG_AUCos_nu_entropy,ppg_derived
PPG_AUCso_nu_mean,ppg_derived
PPG_AUCso_nu_p25,ppg_derived
PPG_AUCso_nu_p75,ppg_derived
PPG_AUCso_nu_skewness,ppg_derived
PPG_AUCso_nu_entropy,ppg_derived
PPG_Tsys_ms_mean,ppg_derived
PPG_Tsys_ms_entropy,ppg_derived
PPG_Tdias_ms_mean,ppg_derived
PPG_Tdias_ms_entropy,ppg_derived
PPG_T_ow_ms_mean,ppg_derived
PPG_T_ow_ms_p25,ppg_derived
PPG_T_ow_ms_skewness,ppg_derived
PPG_T_ow_ms_entropy,ppg_derived
PPG_T_wo_ms_skewness,ppg_derived
PPG_T_wo_ms_entropy,ppg_derived
PPG_T_os_ms_mean,ppg_derived
PPG_T_os_ms_skewness,ppg_derived
PPG_T_os_ms_entropy,ppg_derived
PPG_T_so_ms_skewness,ppg_derived
PPG_T_so_ms_entropy,ppg_derived
PPG_T_so_cd_ms_skewness,ppg_derived
PPG_T_so_cd_ms_entropy,ppg_derived
PPG_A_AC_mean,ppg_derived
PPG_A_AC_p25,ppg_derived
PPG_A_AC_p75,ppg_derived
PPG_A_AC_skewness,ppg_derived
PPG_A_AC_entropy,ppg_derived
PPG_A_off_mean,ppg_derived
PPG_A_off_p25,ppg_derived
PPG_A_off_p75,ppg_derived
PPG_A_off_skewness,ppg_derived
PPG_A_off_entropy,ppg_derived
PPG_A_sp_mean,ppg_derived
PPG_A_sp_skewness,ppg_derived
PPG_A_sp_entropy,ppg_derived
PPG_A_dn_mean,ppg_derived
PPG_A_dn_skewness,ppg_derived
PPG_A_dn_entropy,ppg_derived
PPG_Ton_off_ms_skewness,ppg_derived
PPG_Tsp_sp_ms_skewness,ppg_derived
PPG_Tsp_sp_ms_entropy,ppg_derived
PPG_PR_skewness,ppg_derived
PPG_mean_slope_os_mean,ppg_derived
PPG_mean_slope_os_skewness,ppg_derived
PPG_mean_slope_os_entropy,ppg_derived
PPG_mean_slope_so_mean,ppg_derived
PPG_mean_slope_so_skewness,ppg_derived
PPG_mean_slope_so_entropy,ppg_derived
PPG_Delta_T_sd_mean,ppg_derived
PPG_Delta_T_sd_entropy,ppg_derived
PPG_RI_mean,ppg_derived
PPG_RI_skewness,ppg_derived
PPG_RI_entropy,ppg_derived
